start,name,armed,throttle_us,evidence,sun_elev_deg,light,windows,accepted,rel_heading_deg,obstacle_bin_deg,p_at_bins,leg_s,moved_m,station_s,end
17:29:32,port30_unlit,1,1600,learned,22.5,day,2,1,45.0,0,0.39 0.52 0.59 0.62 0.30 0.42 0.20,4,0.1,0,interrupted
17:45:03,port30_unlit,1,1600,learned,19.9,day,1,1,0.0,,0.24 0.25 0.24 0.24 0.24 0.30 0.24,13,3.3,0,interrupted
17:49:14,port30_unlit,1,1600,learned,18.9,day,1,1,0.0,,0.28 0.34 0.34 0.39 0.39 0.28 0.23,17,5.3,0,checkpoint reached
17:53:10,port30_unlit,1,1600,learned,18.7,day,0,0,,,,0,0.0,0,interrupted
17:54:23,port30_unlit,1,1600,learned,18.5,day,1,1,0.0,,0.37 0.43 0.40 0.39 0.39 0.46 0.48,18,5.4,0,checkpoint reached
17:55:34,port30_unlit,1,1600,learned,18.0,day,1,1,0.0,,0.24 0.25 0.24 0.24 0.24 0.35 0.24,19,5.5,0,checkpoint reached
17:57:55,port30_unlit,1,1600,learned,17.9,day,1,1,-45.0,,0.24 0.24 0.24 0.24 0.25 0.32 0.24,8,1.0,0,interrupted
18:00:31,port30_unlit,1,1600,learned,17.5,day,1,1,0.0,,0.20 0.20 0.20 0.20 0.20 0.28 0.20,13,5.0,0,checkpoint reached
18:01:49,port30_unlit,1,1600,learned,17.3,day,0,0,,,,0,0.0,0,interrupted
18:07:14,“test”,1,1900,learned,16.3,day,1,1,0.0,,0.20 0.20 0.15 0.20 0.20 0.20 0.18,7,4.9,0,checkpoint reached
18:08:57,“test”,1,1900,learned,16.1,day,0,0,,,,0,0.0,0,interrupted
18:09:40,“test”,1,1900,learned,16.0,day,0,0,,,,0,0.0,0,timeout waiting for AUTO
18:20:43,port30_unlit,1,1600,max,14.2,day,0,0,,,,0,0.0,0,interrupted
18:22:29,port30_unlit,1,1600,max,13.9,day,0,0,,,,0,0.0,0,interrupted
18:27:17,test,1,1900,max,12.9,day,1,1,-35.0,0,0.20 0.21 0.34 0.67 0.34 0.34 0.22,8,4.7,0,interrupted
18:30:46,test,1,1900,max,12.4,day,1,1,-45.0,0,0.18 0.34 0.34 0.98 0.34 0.34 0.21,14,11.3,0,interrupted
18:37:14,test,1,1900,max,11.4,day,0,0,,,,0,0.0,0,interrupted
18:43:16,test,1,1900,max,10.3,day,1,1,-31.0,0,0.22 0.23 0.24 0.94 0.63 0.34 0.23,17,16.1,76,interrupted
18:45:14,test,1,1900,max,10.1,day,0,0,,,,0,0.0,0,interrupted
18:46:51,test,1,1900,max,9.7,day,1,1,-29.0,15,0.23 0.24 0.23 0.83 0.94 0.41 0.24,18,16.5,39,interrupted
18:48:20,test,1,1900,max,9.4,day,2,1,9.0,-15,0.18 0.34 0.67 0.34 0.34 0.34 0.34,3,1.2,0,interrupted
18:52:19,test,1,1900,max,8.8,day,1,1,-5.0,30,0.83 0.23 0.34 0.34 0.83 0.94 0.23,17,16.0,7,interrupted
18:57:31,test,1,1900,max,8.0,day,1,0,,,,0,0.0,0,interrupted
19:00:46,test,1,1900,max,7.2,day,3,1,-2.0,-30,0.83 0.94 0.41 0.34 0.67 0.94 0.94,18,17.1,37,interrupted
19:06:33,test,1,1900,max,6.5,day,3,0,,,,0,0.0,0,interrupted
19:08:29,test,1,1900,max,6.0,day,2,1,11.0,-30,0.54 0.83 0.67 0.34 0.24 0.32 0.83,19,18.2,27,interrupted
19:15:18,test,1,1900,max,5.0,dusk,3,0,,,,0,0.0,0,interrupted
19:17:46,test,1,1900,max,4.6,dusk,1,0,,,,0,0.0,0,interrupted
19:18:25,test,1,1900,max,4.5,dusk,0,0,,,,0,0.0,0,interrupted
19:18:57,test,1,1900,max,4.4,dusk,0,0,,,,0,0.0,0,interrupted
19:19:07,test,1,1900,max,4.3,dusk,1,0,,,,0,0.0,0,interrupted
19:19:45,test,1,1900,max,4.2,dusk,4,0,,,,0,0.0,0,interrupted
19:21:45,test,1,1900,max,3.8,dusk,1,1,-34.0,0,0.41 0.34 0.34 0.96 0.41 0.34 0.94,23,18.4,38,interrupted
19:23:52,test,1,1900,max,3.5,dusk,0,0,,,,0,0.0,0,interrupted
19:25:02,,1,1900,max,3.3,dusk,1,1,-12.0,15,0.41 0.41 0.34 0.34 0.94 0.43 0.34,3,1.0,0,interrupted
19:26:17,,1,1900,max,3.1,dusk,2,0,,,,0,0.0,0,interrupted
19:27:58,,1,1900,max,2.8,dusk,1,1,-12.0,-45,0.94 0.33 0.34 0.34 0.94 0.37 0.48,16,14.3,0,interrupted
19:29:31,,1,1900,max,2.5,dusk,1,1,-14.0,15,0.41 0.41 0.34 0.41 0.96 0.41 0.34,38,37.9,66,interrupted
19:35:26,,1,1900,max,1.6,dusk,0,0,,,,0,0.0,0,interrupted
20:27:17,night1,1,1900,max,-7.0,night,0,0,,,,0,0.0,0,interrupted
20:31:03,,1,1900,max,-7.8,night,1,1,-33.0,30,0.18 0.18 0.34 0.34 0.34 0.67 0.34,35,37.4,14,interrupted
20:34:35,,1,1900,max,-9.0,night,1,1,-45.0,,0.18 0.34 0.34 0.34 0.18 0.34 0.34,43,36.5,28,interrupted
20:42:26,,1,1900,max,-10.3,night,1,1,-33.0,,0.18 0.18 0.34 0.34 0.34 0.34 0.18,36,36.4,29,interrupted
21:03:13,,1,1900,max,-12.9,night,1,1,-33.0,,0.18 0.18 0.34 0.34 0.34 0.34 0.34,35,37.2,48,running
